epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.9214,1.95191,3.12472,1.54454,0.01,0.94286,0.14161,0.08175,2.05642,3.14637,1.4171,0.00014,0.00014,0.00014
2,3.65096,1.47724,2.54513,1.24457,0.01061,1,0.39544,0.27132,1.10706,2.93379,0.99277,0.00029703,0.00029703,0.00029703
3,5.3534,1.28047,1.57858,1.13359,0.01061,1,0.79277,0.49173,1.07728,2.73391,0.9293,0.000450892,0.000450892,0.000450892
4,7.03154,1.20909,1.28831,1.14259,0.01283,0.82857,0.69507,0.41854,1.08849,2.77191,0.95462,0.000601586,0.000601586,0.000601586
5,8.69314,1.18428,1.23094,1.0932,0.01061,1,0.63821,0.28966,1.18143,2.84028,1.0217,0.000749112,0.000749112,0.000749112
6,10.3564,1.34886,1.23627,1.16688,0.98018,0.11429,0.2403,0.16468,1.16127,2.79032,1.02961,0.00089347,0.00089347,0.00089347
7,12.0082,1.23633,1.16358,1.1439,1,0.05356,0.11568,0.07775,1.25633,2.94741,1.11614,0.00103466,0.00103466,0.00103466
8,13.6473,1.25621,1.13813,1.17969,0.36405,0.05714,0.14777,0.11567,1.10826,2.63275,1.05554,0.00117268,0.00117268,0.00117268
9,15.2943,1.23236,1.0778,1.12814,0.31068,0.06513,0.56529,0.30166,1.29396,2.45924,1.11054,0.00130754,0.00130754,0.00130754
10,16.9147,1.24232,1.05648,1.1431,0.90892,0.85545,0.91602,0.54132,1.29082,1.88039,1.1182,0.00143922,0.00143922,0.00143922
11,18.5852,1.26604,1.00847,1.16818,0.95554,0.94286,0.97788,0.63766,1.19899,1.25267,1.05686,0.00156774,0.00156774,0.00156774
12,20.2289,1.25975,1.06688,1.13068,0.94534,1,0.98462,0.56952,1.45299,1.20959,1.12754,0.00169309,0.00169309,0.00169309
13,21.8687,1.37314,1.07384,1.22188,0.98703,0.94286,0.96047,0.63433,1.23935,1.35894,1.11084,0.0017624,0.0017624,0.0017624
