epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,71.546,1.20581,0.67604,1.19265,0.94159,1,0.99444,0.64729,1.24467,0.78916,1.07606,0.00166736,0.00166736,0.00166736
44,73.1721,1.18935,0.68921,1.14364,0.9877,1,0.995,0.65449,1.24317,0.66838,1.08268,0.00165944,0.00165944,0.00165944
45,74.7964,1.11264,0.65636,1.1208,0.9636,1,0.99444,0.66485,1.17144,0.69737,1.04985,0.00165152,0.00165152,0.00165152
46,76.421,1.0949,0.67546,1.13471,0.99415,1,0.995,0.66315,1.14867,0.61891,1.03808,0.0016436,0.0016436,0.0016436
47,78.0507,1.09388,0.61321,1.09907,0.98469,1,0.995,0.64811,1.21445,0.67611,1.10397,0.00163568,0.00163568,0.00163568
48,79.6751,1.13907,0.65029,1.13868,0.96761,1,0.99444,0.64335,1.22469,0.65055,1.08484,0.00162776,0.00162776,0.00162776
49,81.2993,1.10956,0.62011,1.12449,0.94043,1,0.98735,0.68924,1.09009,0.59093,1.02517,0.00161984,0.00161984,0.00161984
50,82.9234,1.12009,0.63032,1.12127,0.99863,0.97143,0.99392,0.6359,1.31667,0.6502,1.1358,0.00161192,0.00161192,0.00161192
51,84.5481,1.18047,0.6563,1.13171,0.99769,0.97143,0.98773,0.66307,1.20231,0.6398,1.08859,0.001604,0.001604,0.001604
52,86.1767,1.13866,0.62961,1.09433,1,0.99992,0.995,0.69461,1.08805,0.52377,1.01516,0.00159608,0.00159608,0.00159608
53,87.8102,1.0897,0.60487,1.09944,0.97006,1,0.99028,0.70262,1.07848,0.48115,1.01997,0.00158816,0.00158816,0.00158816
54,89.4618,1.0991,0.61932,1.07642,0.97015,1,0.99444,0.70331,1.1085,0.49267,1.0314,0.00158024,0.00158024,0.00158024
55,91.1196,1.15113,0.67769,1.13325,0.99118,1,0.995,0.6905,1.20061,0.51499,1.07815,0.00157232,0.00157232,0.00157232
